Codec10,0.291,0.253,0.287,0.246,0.280,0.251,0.284,0.245,0.248,0.288,0.257,0.256,0.358,0.249,0.280,0.247,0.285,0.246,0.294,0.257,0.250,0.276,0.243,0.289,0.289,0.258,0.293,0.257,0.305,0.283,0.320,0.319,0.269,0.335,0.250,0.279,0.312,0.292,0.281,0.253,0.279,0.252,0.298,0.283,0.281,0.247,0.292,0.288,0.251,0.314,0.255,0.252,0.264,0.299,0.293,0.248,0.285,0.303,0.288,0.248,0.256,0.325,0.322,0.314,0.303,0.256,0.260,0.291,0.296,0.288,0.250,0.319,0.269,0.279,0.251,0.286,0.297,0.252,0.281,0.255,0.284,0.260,0.289,0.297,0.254,0.288,0.289,0.259,0.310,0.283,0.300,0.292,0.257,0.268,0.284,0.262,0.320,0.260,0.274,0.250
Codec11,0.319,0.328,0.283,0.343,0.344,0.290,0.333,0.312,0.308,0.299,0.290,0.301,0.336,0.305,0.330,0.356,0.311,0.330,0.509,0.296,0.332,0.409,0.357,0.362,0.568,0.286,0.358,0.303,0.342,0.299,0.344,0.315,0.306,0.343,0.303,0.281,0.292,0.351,0.288,0.326,0.286,0.368,0.290,0.324,0.285,0.297,0.288,0.305,0.290,0.324,0.311,0.330,0.338,0.294,0.322,0.301,0.312,0.332,0.538,0.353,0.312,0.365,0.354,0.342,0.293,0.346,0.305,0.291,0.289,0.335,0.286,0.325,0.280,0.447,0.296,0.351,0.287,0.285,0.341,0.317,0.336,0.327,0.331,0.313,0.340,0.327,0.309,0.335,0.342,0.336,0.326,0.306,0.339,0.308,0.287,0.342,0.313,0.326,0.286,0.296
Codec12,0.361,0.372,0.313,0.349,0.326,0.304,0.365,0.393,0.352,0.305,0.345,0.315,0.344,0.315,0.355,0.312,0.315,0.346,0.317,0.324,0.341,0.348,0.318,0.348,0.315,0.345,0.305,0.306,0.304,0.341,0.345,0.350,0.345,0.308,0.323,0.351,0.377,0.348,0.317,0.378,0.365,0.315,0.357,0.307,0.360,0.309,0.362,0.303,0.383,0.308,0.312,0.351,0.333,0.318,0.372,0.313,0.363,0.327,0.347,0.316,0.320,0.307,0.352,0.309,0.385,0.317,0.350,0.304,0.378,0.313,0.345,0.440,0.344,0.341,0.331,0.359,0.345,0.355,0.348,0.319,0.315,0.337,0.406,0.352,0.392,0.322,0.356,0.337,0.376,0.380,0.312,0.384,0.307,0.346,0.325,0.356,0.347,0.368,0.345,0.324
Codec13,0.429,0.418,0.456,0.397,0.414,0.401,0.402,0.465,0.418,0.522,0.451,0.481,0.411,0.480,0.398,0.453,0.531,0.429,0.481,0.404,0.531,0.421,0.480,0.485,0.407,0.477,0.450,0.447,0.405,0.468,0.434,0.435,0.472,0.438,0.412,0.490,0.479,0.418,0.432,0.426,0.399,0.473,0.439,0.456,0.426,0.463,0.476,0.417,0.423,0.474,0.422,0.436,0.451,0.437,0.457,0.424,0.414,0.494,0.441,0.473,0.435,0.463,0.427,0.492,0.446,0.497,0.425,0.440,0.464,0.429,0.473,0.434,0.478,0.412,0.452,0.463,0.402,0.461,0.428,0.458,0.494,0.466,0.416,0.400,0.489,0.449,0.483,0.462,0.463,0.401,0.427,0.460,0.414,0.424,0.461,0.408,0.481,0.413,0.476,0.410
Codec14,0.485,0.430,0.428,0.516,0.411,0.468,0.442,0.480,0.408,0.465,0.402,0.537,0.460,0.459,0.444,0.487,0.409,0.425,0.502,0.414,0.511,0.406,0.459,0.412,0.457,0.423,0.473,0.420,0.479,0.415,0.463,0.428,0.499,0.404,0.468,0.425,0.467,0.480,0.489,0.482,0.418,0.462,0.414,0.464,0.438,0.408,0.455,0.416,0.465,0.460,0.496,0.464,0.494,0.425,0.473,0.479,0.493,0.485,0.406,0.459,0.476,0.412,0.492,0.405,0.409,0.423,0.470,0.402,0.429,0.484,0.558,0.503,0.491,0.423,0.492,0.427,0.437,0.534,0.411,0.462,0.431,0.460,0.409,0.424,0.467,0.423,0.460,0.409,0.457,0.404,0.458,0.415,0.461,0.424,0.471,0.514,0.414,0.455,0.403,0.492
Codec15,0.457,0.500,0.441,0.503,0.458,0.507,0.486,0.511,0.441,0.502,0.441,0.499,0.531,0.512,0.445,0.505,0.488,0.501,0.448,0.546,0.445,0.516,0.446,0.538,0.455,0.520,0.454,0.461,0.441,0.454,0.449,0.549,0.442,0.513,0.444,0.501,0.528,0.463,0.546,0.450,0.511,0.439,0.515,0.520,0.526,0.441,0.553,0.519,0.521,0.449,0.508,0.473,0.554,0.567,0.478,0.504,0.466,0.529,0.561,0.513,0.529,0.534,0.460,0.535,0.448,0.544,0.543,0.575,0.480,0.522,0.565,0.492,0.582,0.519,0.692,0.612,0.598,0.499,0.528,0.549,0.506,0.474,0.606,0.509,0.552,0.467,0.577,0.485,0.511,0.501,0.458,0.463,0.549,0.455,0.541,0.481,0.510,0.466,0.536,0.472
Codec16,0.530,0.460,0.517,0.460,0.522,0.450,0.511,0.458,0.525,0.519,0.524,0.461,0.529,0.463,0.544,0.461,0.534,0.478,0.561,0.487,0.506,0.551,0.476,0.448,0.454,0.549,0.486,0.518,0.477,0.546,0.587,0.481,0.505,0.496,0.541,0.518,0.558,0.564,0.487,0.544,0.526,0.468,0.544,0.450,0.509,0.461,0.514,0.456,0.510,0.470,0.522,0.519,0.453,0.557,0.463,0.560,0.464,0.525,0.458,0.547,0.475,0.557,0.502,0.533,0.517,0.556,0.459,0.531,0.481,0.530,0.467,0.511,0.463,0.528,0.448,0.510,0.452,0.521,0.452,0.440,0.527,0.480,0.550,0.482,0.477,0.506,0.455,0.505,0.460,0.456,0.510,0.453,0.482,0.526,0.472,0.552,0.453,0.511,0.446,0.517
Codec17,0.513,0.586,0.592,0.526,0.599,0.514,0.615,0.591,0.624,0.517,0.595,0.506,0.644,0.504,0.597,0.625,0.511,0.531,0.615,0.535,0.539,0.619,0.522,0.524,0.578,0.615,0.498,0.577,0.511,0.607,0.509,0.499,0.606,0.505,0.516,0.569,0.562,0.609,0.530,0.667,0.539,0.590,0.497,0.575,0.522,0.504,0.586,0.564,0.535,0.585,0.516,0.532,0.509,0.519,0.613,0.515,0.615,0.550,0.601,0.509,0.576,0.508,0.563,0.510,0.584,0.510,0.557,0.577,0.537,0.633,0.551,0.553,0.529,0.530,0.682,0.633,0.602,0.586,0.642,0.586,0.580,0.594,0.557,0.597,0.571,0.560,0.618,0.554,0.597,0.661,0.563,0.524,0.777,0.601,0.551,0.613,0.646,0.621,0.572,0.690
Codec18,0.578,0.568,0.555,0.548,0.567,0.578,0.576,0.525,0.634,0.563,0.541,0.559,0.536,0.563,0.532,0.600,0.521,0.594,0.512,0.561,0.534,0.572,0.587,0.520,0.580,0.612,0.535,0.585,0.518,0.567,0.524,0.552,0.600,0.523,0.585,0.538,0.558,0.531,1.102,0.522,0.531,0.874,0.564,0.560,0.574,0.531,0.582,0.516,0.625,0.614,0.604,0.609,0.523,0.588,0.546,0.677,0.583,0.681,0.621,0.573,0.521,0.529,0.543,0.612,0.568,0.606,0.645,0.553,0.607,0.533,0.643,0.564,0.612,0.551,0.623,0.554,0.538,0.537,0.602,0.583,0.595,0.545,0.711,0.624,0.562,0.572,0.567,0.514,0.611,0.588,0.670,0.516,0.560,0.523,0.631,0.524,0.605,0.547,0.570,0.592
Codec1,0.637,0.159,0.154,0.184,0.158,0.158,0.159,0.188,0.176,0.171,0.183,0.158,0.176,0.265,0.191,0.172,0.167,0.163,0.195,0.175,0.173,0.165,0.176,0.182,0.156,0.184,0.161,0.154,0.187,0.177,0.171,0.155,0.171,0.186,0.170,0.185,0.678,0.174,0.159,0.175,0.161,0.173,0.166,0.173,0.160,0.172,0.156,0.156,0.170,0.159,0.177,0.173,0.162,0.176,0.158,0.168,0.185,0.175,0.157,0.169,0.166,0.171,0.160,0.156,0.154,0.151,0.154,0.174,0.183,0.161,0.193,0.155,0.157,0.174,0.156,0.172,0.156,0.185,0.163,0.155,0.174,0.164,0.187,0.156,0.165,0.174,0.170,0.165,0.155,0.164,0.158,0.158,0.172,0.159,0.159,0.183,0.166,0.157,0.181,0.187
Codec2,0.218,0.208,0.208,0.223,0.191,0.202,0.208,0.170,0.211,0.209,0.231,0.189,0.209,0.183,0.204,0.183,0.208,0.187,0.187,0.168,0.197,0.171,0.178,0.194,0.214,0.202,0.179,0.176,0.189,0.199,0.172,0.201,0.181,0.176,0.177,0.183,0.181,0.185,0.188,0.215,0.195,0.208,0.195,0.220,0.204,0.192,0.217,0.213,0.218,0.185,0.200,0.226,0.213,0.215,0.215,0.207,0.167,0.189,0.194,0.195,0.194,0.180,0.179,0.253,0.204,0.193,0.209,0.196,0.185,0.206,0.206,0.188,0.228,0.202,0.183,0.178,0.167,0.194,0.228,0.241,0.189,0.249,0.201,0.202,0.181,0.229,0.206,0.199,0.209,0.179,0.218,0.186,0.216,0.702,0.169,0.195,0.189,0.191,0.211,0.177
Codec3,0.230,0.232,0.254,0.260,0.201,0.254,0.220,0.277,0.223,0.234,0.219,0.208,0.212,0.237,0.203,0.233,0.198,0.207,0.229,0.201,0.230,0.228,0.228,0.198,0.223,0.198,0.252,0.225,0.200,0.230,0.205,0.202,0.221,0.213,0.226,0.226,0.204,0.213,0.223,0.245,0.217,0.726,0.201,0.222,0.213,0.210,0.232,0.216,0.199,0.249,0.224,0.203,0.225,0.203,0.214,0.221,0.223,0.207,0.226,0.223,0.199,0.241,0.200,0.220,0.220,0.200,0.224,0.207,0.220,0.203,0.211,0.201,0.199,0.198,0.274,0.202,0.223,0.199,0.230,0.198,0.236,0.201,0.226,0.202,0.206,0.217,0.224,0.200,0.234,0.199,0.219,0.216,0.202,0.213,0.205,0.220,0.198,0.224,0.217,0.223
Codec4,0.246,0.226,0.240,0.213,0.212,0.235,0.208,0.206,0.232,0.232,0.206,0.227,0.232,0.228,0.211,0.233,0.233,0.215,0.230,0.206,0.241,0.205,0.206,0.226,0.271,0.211,0.230,0.231,0.218,0.232,0.225,0.237,0.232,0.226,0.253,0.247,0.252,0.230,0.234,0.238,0.293,0.298,0.231,0.304,0.360,0.394,0.234,0.231,0.230,0.236,0.253,0.224,0.239,0.245,0.208,0.235,0.237,0.243,0.239,0.223,0.234,0.240,0.236,0.225,0.235,0.210,0.231,0.255,0.242,0.225,0.231,0.237,0.257,0.249,0.236,0.223,0.231,0.266,0.245,0.234,0.237,0.244,0.239,0.229,0.239,0.227,0.232,0.230,0.233,0.237,0.260,0.230,0.236,0.224,0.238,0.222,0.245,0.227,0.238,0.231
Codec5,0.267,0.251,0.247,0.250,0.242,0.235,0.221,0.251,0.247,0.246,0.254,0.238,0.238,0.239,0.255,0.239,0.240,0.228,0.254,0.259,0.242,0.256,0.251,0.243,0.261,0.247,0.249,0.232,0.250,0.295,0.258,0.245,0.256,0.248,0.247,0.249,0.239,0.241,0.263,0.268,0.244,0.243,0.266,0.249,0.259,0.260,0.280,0.239,0.273,0.248,0.260,0.243,0.252,0.262,0.251,0.305,0.242,0.237,0.247,0.262,0.253,0.235,0.266,0.232,0.253,0.238,0.252,0.249,0.235,0.256,0.233,0.267,0.246,0.240,0.239,0.239,0.245,0.281,0.253,0.237,0.243,0.232,0.282,0.253,0.243,0.237,0.261,0.235,0.242,0.256,0.249,0.242,0.229,0.265,0.246,0.238,0.241,0.254,0.255,0.224
Codec6,0.229,0.269,0.251,0.227,0.257,0.221,0.250,0.220,0.227,0.257,0.220,0.251,0.229,0.256,0.222,0.218,0.255,0.233,0.252,0.251,0.229,0.268,0.249,0.228,0.249,0.223,0.267,0.260,0.225,0.254,0.225,0.255,0.253,0.222,0.261,0.265,0.253,0.247,0.258,0.248,0.223,0.246,0.262,0.283,0.250,0.220,0.232,0.218,0.261,0.257,0.247,0.250,0.236,0.238,0.254,0.245,0.248,0.219,0.284,0.231,0.249,0.225,0.225,0.245,0.218,0.273,0.225,0.223,0.260,0.219,0.255,0.261,0.225,0.250,0.238,0.252,0.303,0.270,0.249,0.271,0.227,0.272,0.234,0.252,0.232,0.218,0.264,0.244,0.250,0.225,0.288,0.225,0.243,0.251,0.249,0.247,0.221,0.260,0.238,0.283
Codec7,0.275,0.257,0.227,0.271,0.240,0.275,0.250,0.273,0.251,0.220,0.253,0.238,0.255,0.218,0.253,0.226,0.275,0.256,0.255,0.254,0.257,0.220,0.253,0.270,0.249,0.246,0.242,0.258,0.221,0.247,0.261,0.225,0.223,0.249,0.233,0.286,0.225,0.248,0.278,0.237,0.255,0.245,0.265,0.220,0.250,0.220,0.281,0.227,0.220,0.250,0.251,0.246,0.760,0.260,0.253,0.252,0.258,0.248,0.247,0.258,0.255,0.243,0.258,0.236,0.272,0.245,0.274,0.242,0.249,0.256,0.238,0.258,0.254,0.241,0.246,0.241,0.259,0.269,0.255,0.249,0.270,0.242,0.240,0.261,0.240,0.265,0.267,0.292,0.244,0.258,0.245,0.263,0.267,0.274,0.249,0.256,0.778,0.257,0.283,0.274
Codec8,0.310,0.235,0.246,0.219,0.272,0.256,0.231,0.251,0.241,0.256,0.267,0.251,0.255,0.264,0.250,0.249,0.247,0.244,0.250,0.254,0.255,0.241,0.257,0.255,0.259,0.244,0.249,0.267,0.251,0.256,0.241,0.230,0.247,0.265,0.269,0.248,0.253,0.242,0.270,0.251,0.236,0.239,0.253,0.274,0.252,0.264,0.256,0.282,0.264,0.279,0.263,0.263,0.245,0.256,0.240,0.242,0.290,0.258,0.257,0.276,0.249,0.236,0.246,0.267,0.252,0.265,0.287,0.256,0.276,0.241,0.230,0.256,0.246,0.226,0.280,0.266,0.230,0.261,0.235,0.275,0.237,0.242,0.283,0.288,0.269,0.255,0.241,0.237,0.263,0.259,0.279,0.227,0.244,0.245,0.262,0.252,0.231,0.250,0.252,0.247
Codec9,0.279,0.236,0.261,0.267,0.290,0.287,0.263,0.255,0.269,0.249,0.238,0.269,0.252,0.269,0.293,0.304,0.262,0.253,0.277,0.287,0.276,0.272,0.268,0.274,0.296,0.374,0.351,0.327,0.365,0.328,0.278,0.309,0.281,0.287,0.283,0.282,0.263,0.276,0.263,0.251,0.307,0.286,0.271,0.292,0.267,0.284,0.260,0.253,0.256,0.243,0.281,0.249,0.263,0.310,0.273,0.263,0.264,0.275,0.757,0.236,0.251,0.260,0.255,0.261,0.270,0.249,0.281,0.287,0.265,0.278,0.283,0.254,0.265,0.274,0.251,0.269,0.232,0.259,0.269,0.262,0.263,0.259,0.274,0.259,0.289,0.280,0.280,0.274,0.253,0.302,0.775,0.258,0.266,0.256,0.274,0.262,0.234,0.265,0.276,0.268
